Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
sample075,0,0.0187621554963328,0,0.0670982887749593,0,0.302951399698806,0,0,0.00805719173372712,0,0.0345741364497107,0,0.0695433813910629,0.104926394309623,0.0492717944382155,0.239805549396371,0.0293236281012054,0.0371576814201905,0.038528398789795,0,0,0,0,0.108386935379684,1.04096117645404
sample076,0.0421289585747008,0,0.00315292514529073,0.0948728787870412,0,0.283317141250816,0.0258360822271516,0,0,0,0.0594554953152419,0,0.0115127923221186,0.0877215608496441,0.1126501353515,0.239244638768024,0.003753169115556,0.00191953372862615,0.0344346885642885,0,0,0,0,0.0595597202528815,1.06652690526444
sample077,0,0.0311261963969714,0.0086190098669586,0.115405807541565,0,0.209915279592953,0,0,0,0,0,0.00637331963457549,0.0434230545785981,0.218096972016921,0.00913198371568729,0.0826171289435607,0.0122103418567296,0.058517045209138,0.204563860646343,0,0,0,0,0.0402026272336498,1.06718379870442
sample078,0.532564255029612,0,0,0.0467940851286347,0,0.170600327576439,0,0.0342700321315635,0.0513825902732278,0,0.00391993790053739,0.0151693749621892,0.0450957367023257,0.0165491849984146,0.00400240758408462,0.0314633197363891,0,0.023376542454034,0.0248122055225481,0,0,0,0,0.561987251170089,0.828483019029405
sample079,0.0405300302555127,0,0.0398459755919033,0,0,0.273588681514308,0,0,0,0,0.0301138787243747,0.0154912413967956,0.0503840332459877,0.067451465117242,0,0.27369390644685,0.00341183346999687,0.0259094911382693,0.178752270517865,0,0,0.000827192580894917,0,0.126514201672724,1.0259609746526
sample080,0.0401994822377249,0,0.00508370152610779,0.0624880521995553,0,0.138998935803437,0,0.00896942203060275,0.0332172251329742,0,0,0.0879863968957053,0.0696735123834899,0.114198214706975,0.0183459033178744,0.32641463701782,0.0108413134692875,0,0.0584543710304449,0,0,0.025128832248,0,0.125183345529928,1.03603360706903
sample081,0.000411919880701571,0.0129461763318805,0,0.0423667113057442,0,0.374084229605893,0,0,0,0,0,0.0402137010653753,0.0799540430938843,0,0.0126339503571395,0.259150093957537,0,0,0.108498210470701,0,0.0697409639311444,0,0,-0.0260654355420623,1.09295124391169
sample082,0.488136421837465,0,0.0746621442221888,0.0575090333395991,0,0.105422941858788,0,0.00684909985844945,0.00537279390190539,0,0.0237819561600194,0,0.0161885300432767,0.0342908387193706,0.0216302587311727,0.122764580926489,0.0297016558257744,0.00442025899458752,0.0092694855809141,0,0,0,0,0.607080583333708,0.793900857138126
sample083,0.0543569041727741,0,0.0192739278391813,0,0,0.338329505712603,0.0315010265658085,0,0,0,0.0195994118597055,0.00297594925636537,0.0589562123220074,0.0757155306319403,0.0858156613459775,0.125362399902536,0,0.0544783097572172,0.0474230547496505,0,0.0490210381561383,0.0371910677280951,0,0.185523882745555,1.00463558956666
sample084,0.0830388378716665,0.058188494807261,0,0,0.064893428293075,0.317235828473053,0.00188537433198083,0,0,0,0.0253108676439892,0,0.154019045674031,0,0.0789907047130585,0.113459022642528,0.039051601276523,0.0104115445490351,0.0533883956077108,0,0.000126854116088037,0,0,0.378760365251075,0.92526584324567
sample085,0.00455019834002221,0.032708021530828,0,0,0,0.202251358573522,0,0.00453357163766669,0,0,0.0104727370370034,0.0075567394330354,0.0134861308378343,0.182605911064441,0.0488120907439032,0.394711834475748,0,0.00902399396890211,0.0892874123570937,0,0,0,0,0.200398596892461,1.0129004995635
